Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
yhCUgGcCcOo,kmuBTU9NAjw,Machakos County,MOH 731  Tested_Couples HV01-15,335,349,375,507,258,204,261,278,225,345,306,191,2.33,2.64,0,223,223
Y52XNJ50hYb,kmuBTU9NAjw,Meru County,MOH 731  Tested_Couples HV01-15,409,459,391,623,307,158,336,343,383,329,291,312,2.36,4.16,0,285,285
ahwTMNAJvrL,kmuBTU9NAjw,Muranga County,MOH 731  Tested_Couples HV01-15,417,410,511,408,361,234,318,347,400,370,307,360,2.05,2.26,0,154,154
jkG3zaihdSs,kmuBTU9NAjw,Nairobi County,MOH 731  Tested_Couples HV01-15,2646,2460,3068,2595,2179,1846,2353,2613,2584,2376,2489,2160,2.03,3.26,0,677,677
uepLTG8wGWJ,kmuBTU9NAjw,Nyamira County,MOH 731  Tested_Couples HV01-15,310,443,357,248,196,228,235,281,284,262,148,168,2.2,3.02,0,196,196
ptWVfaCIdVx,kmuBTU9NAjw,Nyeri County,MOH 731  Tested_Couples HV01-15,414,356,611,388,242,344,325,289,305,275,147,192,2.41,3.5,0,313,313
o36zCRjSd4G,kmuBTU9NAjw,Samburu County,MOH 731  Tested_Couples HV01-15,59,78,59,40,33,38,51,22,42,37,32,10,2,2.77,0,40,40
mThvosEflAU,kmuBTU9NAjw,Trans Nzoia County,MOH 731  Tested_Couples HV01-15,151,188,295,201,100,188,171,102,115,102,102,115,2.4,3.41,0,155,155
sANMZ3lpqGs,kmuBTU9NAjw,Vihiga County,MOH 731  Tested_Couples HV01-15,160,137,209,201,206,120,176,162,175,160,89,160,2.09,2.49,0,81,81
CeLsrJOH0g9,kmuBTU9NAjw,Wajir County,MOH 731  Tested_Couples HV01-15,9,20,12,8,10,9,8,7,9,4,9,6,2.73,7.42,0,12,12
HMNARUV2CW4,q50r2FWg6de,Bomet County,MOH 731  Total       HV01-50,66,122,1743,346,128,91,111,70,61,103,7,22,3.13,35.81,0,1933,1933
KGHhQ5GLd4k,q50r2FWg6de,Bungoma County,MOH 731  Total       HV01-50,213,179,423,143,360,145,84,581,895,534,177,163,2.34,5.71,0,622,622
Tvf1zgVZ0K4,q50r2FWg6de,Busia County,MOH 731  Total       HV01-50,186,256,502,444,510,264,123,972,1352,823,912,341,2.11,2.35,0,867,867
MqnLxQBigG0,q50r2FWg6de,Elgeyo Marakwet County,MOH 731  Total       HV01-50,20,63,40,59,18,42,8,57,157,55,38,18,2.8,4.01,0,119,119
PFu8alU2KWG,q50r2FWg6de,Embu County,MOH 731  Total       HV01-50,51,84,71,58,28,69,48,90,205,82,54,51,2.92,6.82,0,143,143
bzOfj0iwfDH,q50r2FWg6de,Isiolo County,MOH 731  Total       HV01-50,95,47,96,27,13,,1,72,217,203,63,10,1.91,2.89,63,0,63
BjC1xL40gHo,q50r2FWg6de,Kakamega County,MOH 731  Total       HV01-50,271,185,213,334,164,111,86,453,1047,659,602,306,2.41,3.54,0,739,739
ihZsJ8alvtb,q50r2FWg6de,Kericho County,MOH 731  Total       HV01-50,93,130,112,130,118,77,53,313,3180,843,559,207,3.06,31.65,0,4171,4171
sPkRcDvhGWA,q50r2FWg6de,Kisii County,MOH 731  Total       HV01-50,461,353,478,193,311,31,140,1142,2617,2927,3152,1526,1.75,4.71,0,7151,7151
tAbBVBbueqD,q50r2FWg6de,Kisumu County,MOH 731  Total       HV01-50,428,515,431,603,343,265,394,3058,3009,3623,5356,2407,2.12,12.69,0,15325,15325
N7YETT3A9r1,q50r2FWg6de,Kwale County,MOH 731  Total       HV01-50,51,6,,16,105,210,9,6,346,192,213,150,2.01,1.69,105,250,355
xuFdFy6t9AH,q50r2FWg6de,Laikipia County,MOH 731  Total       HV01-50,313,777,343,120,58,31,9,257,584,355,236,193,2.21,3.05,0,550,550
NjWSbQTwys4,q50r2FWg6de,Lamu County,MOH 731  Total       HV01-50,39,50,85,,,11,12,167,362,99,220,328,1.75,2.35,184,0,184
yhCUgGcCcOo,q50r2FWg6de,Machakos County,MOH 731  Total       HV01-50,75,35,146,78,99,184,153,118,315,348,640,239,2.61,4.53,0,477,477
R6f9znhg37c,q50r2FWg6de,Mandera County,MOH 731  Total       HV01-50,16,13,11,10,3,2,5,7,13,15,,56,2.86,7.59,11,47,58
Eey8fT4Im3y,q50r2FWg6de,Marsabit County,MOH 731  Total       HV01-50,,56,,,,2,,15,41,6,19,6,1.74,3.07,75,0,75
Y52XNJ50hYb,q50r2FWg6de,Meru County,MOH 731  Total       HV01-50,270,645,413,275,163,118,51,268,500,224,236,363,2.12,2.54,0,383,383
fVra3Pwta0Q,q50r2FWg6de,Migori County,MOH 731  Total       HV01-50,216,193,1223,405,186,110,69,981,1851,1916,3444,2363,2.15,3.33,0,2579,2579
ahwTMNAJvrL,q50r2FWg6de,Muranga County,MOH 731  Total       HV01-50,276,317,360,241,101,208,112,247,372,337,741,789,2.07,4.78,0,1016,1016
ob6SxuRcqU4,q50r2FWg6de,Nakuru County,MOH 731  Total       HV01-50,2399,3319,2367,468,636,520,197,1053,1354,1307,817,405,2.14,3.63,0,2271,2271
ptWVfaCIdVx,q50r2FWg6de,Nyeri County,MOH 731  Total       HV01-50,63,110,159,101,58,10,,259,536,880,1528,1033,2.17,9.14,159,2955,3114
o36zCRjSd4G,q50r2FWg6de,Samburu County,MOH 731  Total       HV01-50,791,760,578,70,22,38,56,64,42,54,7,13,1.9,19.86,0,2007,2007
u4t9H8XyU9P,q50r2FWg6de,Siaya County,MOH 731  Total       HV01-50,952,806,625,489,421,361,184,1249,1853,2950,6278,4538,2.37,7.46,0,8838,8838
JsH2bnvNt2d,q50r2FWg6de,Tana River County,MOH 731  Total       HV01-50,55,42,42,50,32,56,29,35,25,59,112,65,2.66,3.71,0,67,67
