county,year,month,value
Nyeri County,2020,4,31
Samburu County,2020,4,890
Siaya County,2020,4,66661
Taita Taveta County,2020,4,177
Tana River County,2020,4,874
Tharaka Nithi County,2020,4,876
Trans Nzoia County,2020,4,5120
Turkana County,2020,4,11425
Uasin Gishu County,2020,4,2891
Vihiga County,2020,4,16357
Wajir County,2020,4,81
West Pokot County,2020,4,7182
Baringo County,2020,5,5441
Bomet County,2020,5,365
Bungoma County,2020,5,52397
Busia County,2020,5,61289
Elgeyo Marakwet County,2020,5,1138
Embu County,2020,5,341
Garissa County,2020,5,626
Homa Bay County,2020,5,24163
Isiolo County,2020,5,708
Kajiado County,2020,5,788
Kakamega County,2020,5,103363
Kericho County,2020,5,3716
Kiambu County,2020,5,452
Kilifi County,2020,5,17845
Kirinyaga County,2020,5,95
Kisii County,2020,5,12535
Kisumu County,2020,5,64004
Kitui County,2020,5,1829
Kwale County,2020,5,24944
Laikipia County,2020,5,127
Lamu County,2020,5,60
Machakos County,2020,5,1639
Makueni County,2020,5,802
Mandera County,2020,5,659
Marsabit County,2020,5,1177
Meru County,2020,5,1229
Migori County,2020,5,37482
Mombasa County,2020,5,5968
Muranga County,2020,5,61
Nairobi County,2020,5,2864
Nakuru County,2020,5,3481
Nandi County,2020,5,5175
Narok County,2020,5,3864
Nyamira County,2020,5,1448
Nyandarua County,2020,5,91
Nyeri County,2020,5,26
Samburu County,2020,5,936
Siaya County,2020,5,76522
Taita Taveta County,2020,5,181
Tana River County,2020,5,937
Tharaka Nithi County,2020,5,894
Trans Nzoia County,2020,5,5673
Turkana County,2020,5,15771
Uasin Gishu County,2020,5,2683
Vihiga County,2020,5,23826
Wajir County,2020,5,117
West Pokot County,2020,5,6475
Baringo County,2020,6,6247
Bomet County,2020,6,447
Bungoma County,2020,6,59070
Busia County,2020,6,62421
Elgeyo Marakwet County,2020,6,1357
Embu County,2020,6,339
Garissa County,2020,6,850
Homa Bay County,2020,6,28062
Isiolo County,2020,6,707
Kajiado County,2020,6,988
Kakamega County,2020,6,115465
Kericho County,2020,6,5004
Kiambu County,2020,6,487
Kilifi County,2020,6,23768
Kirinyaga County,2020,6,76
Kisii County,2020,6,16310
Kisumu County,2020,6,45085
Kitui County,2020,6,2724
Kwale County,2020,6,39448
Laikipia County,2020,6,109
Lamu County,2020,6,111
Machakos County,2020,6,1778
Makueni County,2020,6,1199
Mandera County,2020,6,577
Marsabit County,2020,6,1340
Meru County,2020,6,1644
Migori County,2020,6,43614
Mombasa County,2020,6,6627
Muranga County,2020,6,36
Nairobi County,2020,6,2892
Nakuru County,2020,6,3555
Nandi County,2020,6,5075
Narok County,2020,6,4048
Nyamira County,2020,6,1653
Nyandarua County,2020,6,102
Nyeri County,2020,6,58
Samburu County,2020,6,952
Siaya County,2020,6,76123
Taita Taveta County,2020,6,214
Tana River County,2020,6,1044
Tharaka Nithi County,2020,6,957
Trans Nzoia County,2020,6,5412
Turkana County,2020,6,13796
Uasin Gishu County,2020,6,3952
Vihiga County,2020,6,31899
Wajir County,2020,6,147
West Pokot County,2020,6,8951
Baringo County,2020,7,5809
Bomet County,2020,7,527
Bungoma County,2020,7,61880
Busia County,2020,7,55433
Elgeyo Marakwet County,2020,7,1936
Embu County,2020,7,260
Garissa County,2020,7,794
Homa Bay County,2020,7,25340
Isiolo County,2020,7,474
Kajiado County,2020,7,1218
Kakamega County,2020,7,101571
Kericho County,2020,7,2803
Kiambu County,2020,7,632
Kilifi County,2020,7,27484
Kirinyaga County,2020,7,121
Kisii County,2020,7,15685
Kisumu County,2020,7,69714
Kitui County,2020,7,1805
Kwale County,2020,7,33639
Laikipia County,2020,7,155
Lamu County,2020,7,51
Machakos County,2020,7,1669
Makueni County,2020,7,1244
Mandera County,2020,7,652
Marsabit County,2020,7,1221
Meru County,2020,7,1288
Migori County,2020,7,36403
Mombasa County,2020,7,6471
Muranga County,2020,7,103
Nairobi County,2020,7,3190
Nakuru County,2020,7,4260
Nandi County,2020,7,4503
Narok County,2020,7,4697
Nyamira County,2020,7,1870
Nyandarua County,2020,7,76
Nyeri County,2020,7,40
Samburu County,2020,7,992
Siaya County,2020,7,62597
Taita Taveta County,2020,7,228
Tana River County,2020,7,912
Tharaka Nithi County,2020,7,856
Trans Nzoia County,2020,7,5804
Turkana County,2020,7,24131
Uasin Gishu County,2020,7,2119
Vihiga County,2020,7,24143
Wajir County,2020,7,172
West Pokot County,2020,7,12399
Baringo County,2020,8,6325
Bomet County,2020,8,641
Bungoma County,2020,8,53175
Busia County,2020,8,45525
Elgeyo Marakwet County,2020,8,1633
Embu County,2020,8,353
Garissa County,2020,8,1771
Homa Bay County,2020,8,10988
Isiolo County,2020,8,417
Kajiado County,2020,8,946
Kakamega County,2020,8,81056
Kericho County,2020,8,3046
Kiambu County,2020,8,542
Kilifi County,2020,8,32025
Kirinyaga County,2020,8,90
Kisii County,2020,8,14271
Kisumu County,2020,8,47609
Kitui County,2020,8,759
Kwale County,2020,8,28982
Laikipia County,2020,8,131
Lamu County,2020,8,659
Machakos County,2020,8,1816
Makueni County,2020,8,996
Mandera County,2020,8,693
Marsabit County,2020,8,839
Meru County,2020,8,1109
Migori County,2020,8,24800
Mombasa County,2020,8,8195
Muranga County,2020,8,54
